slot,ref_tick,sz,shred_cnt
308015686,27,33712,35
308015686,30,36543,38
308015686,34,36886,38
308015686,38,33650,35
308015686,48,3403,4
308015686,51,33977,35
308015686,52,34540,36
308015686,61,19092,20
308015686,0,152,32
308015687,1,40984,43
308015687,3,39948,41
308015687,5,34302,36
308015687,7,34464,36
308015687,9,33846,35
308015687,12,37555,39
308015687,13,35133,37
308015687,17,34636,36
308015687,20,38300,40
308015687,22,35280,37
308015687,24,35521,37
308015687,27,34713,36
308015687,29,34424,36
308015687,31,34647,36
308015687,33,34250,36
308015687,35,33773,35
308015687,37,38938,40
308015687,38,35374,37
308015687,43,36866,38
308015687,52,16131,17
308015687,57,37036,38
308015687,58,34104,35
308015687,0,22722,32
308015688,2,37173,39
308015688,3,37396,39
308015688,4,36439,38
308015688,6,53553,55
308015688,7,40984,43
308015688,8,33958,35
308015688,9,40984,43
308015688,10,52042,54
308015688,11,35768,37
308015688,13,42266,44
308015688,14,33677,35
308015688,15,34329,36
308015688,17,34832,36
308015688,18,40373,42
308015688,19,34710,36
308015688,20,36019,37
308015688,22,34248,36
308015688,24,34826,36
308015688,27,34273,36
308015688,31,34001,35
308015688,36,40757,42
308015688,41,34810,36
308015688,44,35029,36
308015688,49,33725,35
308015688,53,35414,37
308015688,62,9580,10
308015688,0,104,32
308015689,1,37827,39
308015689,3,34143,36
308015689,5,34348,36
308015689,10,34181,36
308015689,14,38034,40
308015689,19,39371,41
308015689,23,33676,35
308015689,26,34178,36
308015689,28,35698,37
308015689,30,35626,37
308015689,31,46128,48
308015689,32,40923,42
308015689,41,10786,11
308015689,51,488,1
308015689,54,46962,49
308015689,55,37657,39
308015689,56,33731,35
308015689,56,40164,42
308015689,0,392,32
308015690,1,40314,42
308015690,2,47700,49
308015690,2,34007,35
308015690,3,53814,56
308015690,4,49886,52
308015690,5,48695,50
308015690,8,34505,36
308015690,11,33707,35
308015690,19,34102,35
308015690,24,35996,37
308015690,28,34354,36
308015690,42,317319,322
308015690,44,36981,38
308015690,48,34422,36
308015690,53,34484,36
308015690,62,37854,39
308015690,0,27593,32
308015691,1,34234,36
308015691,4,35624,37
308015691,6,34136,36
308015691,9,33899,35
308015691,16,34166,36
308015691,24,43303,45
308015691,29,34371,36
308015691,32,39151,41
308015691,34,40662,42
308015691,36,34178,36
308015691,37,33644,35
308015691,39,34067,35
308015691,41,33912,35
308015691,42,34145,36
308015691,51,21599,22
308015691,60,41368,43
308015691,61,37630,39
308015691,62,46976,49
308015691,63,44623,46
308015691,0,56,32
308015692,1,38034,40
308015692,3,39581,41
308015692,4,34206,36
308015692,4,34013,35
308015692,5,34958,36
308015692,5,34243,36
308015692,9,34092,35
308015692,10,40225,42
308015692,10,51783,54
308015692,12,49250,51
308015692,13,43970,46
308015692,14,40984,43
308015692,15,41490,43
308015692,17,35519,37
308015692,19,39805,41
308015692,22,42455,44
308015692,25,34574,36
308015692,27,35788,37
308015692,29,34721,36
308015692,33,34414,36
308015692,36,37351,39
308015692,41,34183,36
308015692,45,33922,35
308015692,54,13542,14
308015692,0,488,32
308015693,1,41080,43
